"SEP=,"
"Hero ","Total ","Seasons ","Average ","Last Season ","Recolors ","total Battle Pass","seasons Battle Pass","average Battle Pass","last season Battle Pass","recolors Battle Pass","total Mythic Shop","seasons Mythic Shop","average Mythic Shop","last season Mythic Shop","recolors Mythic Shop","total Shop","seasons Shop","average Shop","last season Shop","recolors Shop","total Collaboration","seasons Collaboration","average Collaboration","last season Collaboration","recolors Collaboration","total Challenge","seasons Challenge","average Challenge","last season Challenge","recolors Challenge","total Bundle Special","seasons Bundle Special","average Bundle Special","last season Bundle Special","recolors Bundle Special","total Blizzard Special","seasons Blizzard Special","average Blizzard Special","last season Blizzard Special","recolors Blizzard Special","total Competitive","seasons Competitive","average Competitive","last season Competitive","recolors Competitive","total Overwatch League","seasons Overwatch League","average Overwatch League","last season Overwatch League","recolors Overwatch League","total Overwatch Esports","seasons Overwatch Esports","average Overwatch Esports","last season Overwatch Esports","recolors Overwatch Esports"
Mizuki,5,3/4,1.25,24,0,0,0/4,0,0,0,0,0/4,0,0,0,2,2/4,0.5,23,0,1,1/4,0.25,23,0,0,0/4,0,0,0,1,1/4,0.25,24,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,1,1/4,0.25,23,0
Moira,21,15/24,0.88,24,2,7,7/24,0.29,24,0,1,1/24,0.04,9,0,6,6/24,0.25,24,0,1,1/24,0.04,7,0,0,0/24,0,0,0,2,2/24,0.08,18,0,0,0/24,0,0,0,1,1/24,0.04,16,0,2,2/24,0.08,6,1,1,1/24,0.04,18,1
Orisa,17,14/24,0.71,24,3,3,3/24,0.13,17,0,1,1/24,0.04,8,0,9,9/24,0.38,24,2,1,1/24,0.04,14,0,2,2/24,0.08,15,1,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,16,0,0,0/24,0,0,0,0,0/24,0,0,0
Pharah,18,15/24,0.75,24,3,5,5/24,0.21,24,0,0,0/24,0,0,0,9,8/24,0.38,22,3,1,1/24,0.04,7,0,1,1/24,0.04,22,0,2,2/24,0.08,14,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Ramattra,16,11/23,0.7,24,2,3,2/23,0.13,7,0,0,0/23,0,0,0,8,7/23,0.35,22,2,3,3/23,0.13,22,0,0,0/23,0,0,0,1,1/23,0.04,19,0,0,0/23,0,0,0,1,1/23,0.04,24,0,0,0/23,0,0,0,0,0/23,0,0,0
Reaper,32,19/24,1.33,24,4,5,5/24,0.21,20,0,1,1/24,0.04,12,0,14,11/24,0.58,24,1,3,3/24,0.13,17,0,1,1/24,0.04,22,0,1,1/24,0.04,14,0,1,1/24,0.04,13,0,1,1/24,0.04,20,0,3,2/24,0.13,6,2,1,1/24,0.04,18,1
Reinhardt,26,20/24,1.08,23,4,4,4/24,0.17,19,0,1,1/24,0.04,14,0,9,9/24,0.38,23,2,4,4/24,0.17,13,0,2,2/24,0.08,22,1,2,2/24,0.08,20,0,0,0/24,0,0,0,2,2/24,0.08,21,0,0,0/24,0,0,0,2,2/24,0.08,21,1
Roadhog,14,12/24,0.58,22,0,3,3/24,0.13,13,0,0,0/24,0,0,0,8,8/24,0.33,22,0,0,0/24,0,0,0,1,1/24,0.04,22,0,2,2/24,0.08,18,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Shion,1,1/2,0.5,23,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,1,1/2,0.5,23,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0
Sierra,2,2/3,0.67,23,0,0,0/3,0,0,0,0,0/3,0,0,0,1,1/3,0.33,23,0,0,0/3,0,0,0,0,0/3,0,0,0,1,1/3,0.33,22,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0
Sigma,17,15/24,0.71,21,2,4,4/24,0.17,14,0,1,1/24,0.04,4,0,6,6/24,0.25,21,2,1,1/24,0.04,16,0,0,0/24,0,0,0,3,3/24,0.13,17,0,1,1/24,0.04,7,0,1,1/24,0.04,21,0,0,0/24,0,0,0,0,0/24,0,0,0
Sojourn,19,17/24,0.79,24,2,5,5/24,0.21,24,0,1,1/24,0.04,18,0,10,9/24,0.42,20,2,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,21,0,1,1/24,0.04,6,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,7,0
"Soldier 76",26,17/24,1.08,22,6,5,5/24,0.21,20,0,1,1/24,0.04,22,0,8,8/24,0.33,21,3,3,2/24,0.13,16,0,1,1/24,0.04,22,0,2,2/24,0.08,4,0,1,1/24,0.04,16,0,1,1/24,0.04,16,0,3,2/24,0.13,9,2,1,1/24,0.04,22,1
Sombra,21,17/24,0.88,23,6,5,5/24,0.21,23,0,0,0/24,0,0,0,12,9/24,0.5,22,4,4,3/24,0.17,15,2,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Symmetra,18,16/24,0.75,22,4,6,6/24,0.25,22,0,0,0/24,0,0,0,8,8/24,0.33,21,2,1,1/24,0.04,19,1,2,2/24,0.08,22,0,0,0/24,0,0,0,1,1/24,0.04,16,1,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Torbjörn,14,12/24,0.58,22,3,6,6/24,0.25,22,0,0,0/24,0,0,0,6,6/24,0.25,14,2,1,1/24,0.04,12,1,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Tracer,26,18/24,1.08,23,7,6,6/24,0.25,22,0,1,1/24,0.04,5,0,9,9/24,0.38,23,2,3,3/24,0.13,15,1,1,1/24,0.04,22,0,1,1/24,0.04,20,0,1,1/24,0.04,15,1,1,1/24,0.04,21,0,0,0/24,0,0,0,3,3/24,0.13,22,3
Vendetta,9,5/5,1.8,24,0,1,1/5,0.2,21,0,0,0/5,0,0,0,6,4/5,1.2,24,0,1,1/5,0.2,21,0,0,0/5,0,0,0,1,1/5,0.2,20,0,0,0/5,0,0,0,0,0/5,0,0,0,0,0/5,0,0,0,0,0/5,0,0,0
Venture,11,10/15,0.73,23,0,3,3/15,0.2,20,0,0,0/15,0,0,0,5,5/15,0.33,23,0,1,1/15,0.07,14,0,0,0/15,0,0,0,1,1/15,0.07,19,0,0,0/15,0,0,0,0,0/15,0,0,0,0,0/15,0,0,0,1,1/15,0.07,10,0
Widowmaker,30,20/24,1.25,23,7,3,3/24,0.13,10,0,1,1/24,0.04,13,0,14,13/24,0.58,23,6,4,4/24,0.17,21,0,2,2/24,0.08,22,0,3,3/24,0.13,17,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,20,1
Winston,12,12/24,0.5,24,0,6,6/24,0.25,24,0,0,0/24,0,0,0,3,3/24,0.13,15,0,1,1/24,0.04,16,0,1,1/24,0.04,22,0,1,1/24,0.04,13,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
"Wrecking Ball",11,11/24,0.46,18,1,5,5/24,0.21,18,0,0,0/24,0,0,0,4,4/24,0.17,17,1,1,1/24,0.04,9,0,1,1/24,0.04,4,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Wuyang,13,6/7,1.86,23,0,2,2/7,0.29,22,0,0,0/7,0,0,0,4,3/7,0.57,23,0,3,3/7,0.43,21,0,0,0/7,0,0,0,1,1/7,0.14,18,0,0,0/7,0,0,0,1,1/7,0.14,22,0,0,0/7,0,0,0,1,1/7,0.14,21,0
Zarya,14,11/24,0.58,22,4,4,4/24,0.17,15,0,0,0/24,0,0,0,5,5/24,0.21,22,2,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,1,1/24,0.04,20,0,0,0/24,0,0,0,3,2/24,0.13,6,2,0,0/24,0,0,0
Zenyatta,23,19/24,0.96,24,2,6,6/24,0.25,24,0,1,1/24,0.04,15,0,7,7/24,0.29,23,0,3,3/24,0.13,16,0,1,1/24,0.04,22,0,1,1/24,0.04,11,0,0,0/24,0,0,0,1,1/24,0.04,21,0,1,1/24,0.04,1,0,2,2/24,0.08,18,2

"Hero epic","Total epic","Seasons epic","Average epic","Last Season epic","Recolors epic","total Battle Pass","seasons Battle Pass","average Battle Pass","last season Battle Pass","recolors Battle Pass","total Mythic Shop","seasons Mythic Shop","average Mythic Shop","last season Mythic Shop","recolors Mythic Shop","total Shop","seasons Shop","average Shop","last season Shop","recolors Shop","total Collaboration","seasons Collaboration","average Collaboration","last season Collaboration","recolors Collaboration","total Challenge","seasons Challenge","average Challenge","last season Challenge","recolors Challenge","total Bundle Special","seasons Bundle Special","average Bundle Special","last season Bundle Special","recolors Bundle Special","total Blizzard Special","seasons Blizzard Special","average Blizzard Special","last season Blizzard Special","recolors Blizzard Special","total Competitive","seasons Competitive","average Competitive","last season Competitive","recolors Competitive","total Overwatch League","seasons Overwatch League","average Overwatch League","last season Overwatch League","recolors Overwatch League","total Overwatch Esports","seasons Overwatch Esports","average Overwatch Esports","last season Overwatch Esports","recolors Overwatch Esports"
Ana,8,7/24,0.33,18,0,1,1/24,0.04,17,0,0,0/24,0,0,0,3,3/24,0.13,11,0,0,0/24,0,0,0,1,1/24,0.04,5,0,2,2/24,0.08,16,0,0,0/24,0,0,0,1,1/24,0.04,18,0,0,0/24,0,0,0,0,0/24,0,0,0
Anran,1,1/4,0.25,21,0,0,0/4,0,0,0,0,0/4,0,0,0,1,1/4,0.25,21,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
Ashe,3,3/24,0.13,13,0,1,1/24,0.04,6,0,0,0/24,0,0,0,2,2/24,0.08,13,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Baptiste,5,4/24,0.21,21,0,3,3/24,0.13,21,0,0,0/24,0,0,0,2,2/24,0.08,12,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Bastion,3,3/24,0.13,22,0,1,1/24,0.04,4,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,22,0,1,1/24,0.04,7,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Brigitte,4,4/24,0.17,21,0,2,2/24,0.08,21,0,0,0/24,0,0,0,1,1/24,0.04,3,0,0,0/24,0,0,0,1,1/24,0.04,2,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Cassidy,4,4/24,0.17,22,0,2,2/24,0.08,14,0,0,0/24,0,0,0,1,1/24,0.04,5,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
D.Mon,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0
D.Va,2,2/24,0.08,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,22,0,1,1/24,0.04,4,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Domina,1,1/4,0.25,23,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,1,1/4,0.25,23,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
Doomfist,3,3/24,0.13,7,0,1,1/24,0.04,7,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,5,0,1,1/24,0.04,1,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Echo,6,5/24,0.25,21,0,3,3/24,0.13,19,0,0,0/24,0,0,0,1,1/24,0.04,10,0,0,0/24,0,0,0,2,1/24,0.08,21,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
